"ID","Phenotype"
"ind1",3.507892
"ind2",-0.381633
"ind3",3.43509
"ind4",1.104233
"ind5",0.465146
"ind6",0.070782
"ind7",2.740182
"ind8",3.189648
"ind9",3.524149
"ind10",1.080261
"ind11",-0.036987
"ind12",1.764977
"ind13",0.999174
"ind14",1.714014
"ind15",0.244748
"ind16",3.676927
"ind17",0.633328
"ind18",3.273945
"ind19",0.404707
"ind20",3.383994
"ind21",5.015154
"ind22",1.62913
"ind23",1.944172
"ind24",2.153812
"ind25",-0.256393
"ind26",-0.075196
"ind27",1.122084
"ind28",-0.809359
"ind29",0.209582
"ind30",1.871312
"ind31",0.862113
"ind32",0.91983
"ind33",3.180062
"ind34",1.42404
"ind35",1.513612
"ind36",2.86726
"ind37",-1.33447
"ind38",1.182496
"ind39",2.151255
"ind40",2.759659
"ind41",0.555423
"ind42",2.95806
"ind43",0.808985
"ind44",0.389292
"ind45",1.490416
"ind46",0.181467
"ind47",2.526999
"ind48",1.182191
"ind49",3.425788
"ind50",3.34101
"ind51",0.337389
"ind52",2.396689
"ind53",0.052905
"ind54",0.845818
"ind55",1.855094
"ind56",2.056413
"ind57",0.196856
"ind58",1.95014
"ind59",1.179696
"ind60",3.199417
"ind61",3.910054
"ind62",-0.418286
"ind63",1.012041
"ind64",3.709047
"ind65",-0.012016
"ind66",1.336075
"ind67",-0.062636
"ind68",3.679581
"ind69",1.791337
"ind70",0.762208
"ind71",3.363979
"ind72",0.944294
"ind73",1.501833
"ind74",1.516911
"ind75",1.091833
"ind76",0.805094
"ind77",0.560472
"ind78",0.911126
"ind79",2.464949
"ind80",2.260799
"ind81",-1.982696
"ind82",0.130681
"ind83",2.342862
"ind84",5.260476
"ind85",0.373423
"ind86",3.319767
"ind87",0.570563
"ind88",0.976779
"ind89",1.409784
"ind90",1.876278
"ind91",0.794001
"ind92",1.878426
"ind93",1.8846
"ind94",-2.188053
"ind95",1.265088
"ind96",1.486365
"ind97",2.854236
"ind98",1.529816
"ind99",0.870229
"ind100",1.358915
"ind101",3.007829
"ind102",1.685522
"ind103",0.275381
"ind104",3.17252
"ind105",-0.313689
"ind106",1.482703
"ind107",2.423912
"ind108",0.617476
"ind109",4.535734
"ind110",-2.202559
"ind111",2.666619
"ind112",0.291402
"ind113",2.586422
"ind114",3.584547
"ind115",3.029501
"ind116",2.468354
"ind117",3.267461
"ind118",0.417717
"ind119",0.447792
"ind120",-0.314868
"ind121",2.074296
"ind122",-0.922336
"ind123",-0.455897
"ind124",1.47262
"ind125",-1.824664
"ind126",1.384072
"ind127",1.447752
"ind128",3.491514
"ind129",-1.047951
"ind130",-0.077565
"ind131",3.628414
"ind132",-1.840583
"ind133",2.252368
"ind134",2.416808
"ind135",-1.307584
"ind136",0.763545
"ind137",1.603173
"ind138",0.224424
"ind139",3.080949
"ind140",0.23908
"ind141",0.460993
"ind142",0.687519
"ind143",2.96748
"ind144",0.083807
"ind145",3.095684
"ind146",0.130016
"ind147",2.539277
"ind148",-0.15712
"ind149",1.332505
"ind150",1.513776
"ind151",2.45033
"ind152",0.912084
"ind153",3.130578
"ind154",2.693468
"ind155",2.680821
"ind156",3.203099
"ind157",2.195212
"ind158",0.399495
"ind159",-0.082567
"ind160",0.081808
"ind161",0.32267
"ind162",0.669025
"ind163",3.369817
"ind164",1.199543
"ind165",-0.026734
"ind166",0.306339
"ind167",-1.29859
"ind168",1.665303
"ind169",2.020535
"ind170",1.294336
"ind171",-0.838438
"ind172",1.981025
"ind173",2.33706
"ind174",2.32375
"ind175",2.532276
"ind176",2.058254
"ind177",-0.507493
"ind178",0.765262
"ind179",3.34667
"ind180",2.31436
"ind181",2.271015
"ind182",0.385165
"ind183",2.841262
"ind184",1.912082
"ind185",0.305115
"ind186",1.350429
"ind187",0.181658
"ind188",1.080566
"ind189",1.680594
"ind190",1.866076
"ind191",0.799075
"ind192",1.887742
"ind193",2.247939
"ind194",0.939216
"ind195",-1.764361
"ind196",0.680484
"ind197",-0.928562
"ind198",4.217913
"ind199",2.266188
"ind200",1.622531
