"Marker","Chr","Position"
"D1M1",1,0
"D1M2",1,11.1111111111111
"D1M3",1,22.2222222222222
"D1M4",1,33.3333333333333
"D1M5",1,44.4444444444444
"D1M6",1,55.5555555555556
"D1M7",1,66.6666666666667
"D1M8",1,77.7777777777778
"D1M9",1,88.8888888888889
"D1M10",1,100
"D2M1",2,0
"D2M2",2,11.1111111111111
"D2M3",2,22.2222222222222
"D2M4",2,33.3333333333333
"D2M5",2,44.4444444444444
"D2M6",2,55.5555555555556
"D2M7",2,66.6666666666667
"D2M8",2,77.7777777777778
"D2M9",2,88.8888888888889
"D2M10",2,100
"D3M1",3,0
"D3M2",3,11.1111111111111
"D3M3",3,22.2222222222222
"D3M4",3,33.3333333333333
"D3M5",3,44.4444444444444
"D3M6",3,55.5555555555556
"D3M7",3,66.6666666666667
"D3M8",3,77.7777777777778
"D3M9",3,88.8888888888889
"D3M10",3,100
"D4M1",4,0
"D4M2",4,11.1111111111111
"D4M3",4,22.2222222222222
"D4M4",4,33.3333333333333
"D4M5",4,44.4444444444444
"D4M6",4,55.5555555555556
"D4M7",4,66.6666666666667
"D4M8",4,77.7777777777778
"D4M9",4,88.8888888888889
"D4M10",4,100
"D5M1",5,0
"D5M2",5,11.1111111111111
"D5M3",5,22.2222222222222
"D5M4",5,33.3333333333333
"D5M5",5,44.4444444444444
"D5M6",5,55.5555555555556
"D5M7",5,66.6666666666667
"D5M8",5,77.7777777777778
"D5M9",5,88.8888888888889
"D5M10",5,100
"D6M1",6,0
"D6M2",6,11.1111111111111
"D6M3",6,22.2222222222222
"D6M4",6,33.3333333333333
"D6M5",6,44.4444444444444
"D6M6",6,55.5555555555556
"D6M7",6,66.6666666666667
"D6M8",6,77.7777777777778
"D6M9",6,88.8888888888889
"D6M10",6,100
"D7M1",7,0
"D7M2",7,11.1111111111111
"D7M3",7,22.2222222222222
"D7M4",7,33.3333333333333
"D7M5",7,44.4444444444444
"D7M6",7,55.5555555555556
"D7M7",7,66.6666666666667
"D7M8",7,77.7777777777778
"D7M9",7,88.8888888888889
"D7M10",7,100
"D8M1",8,0
"D8M2",8,11.1111111111111
"D8M3",8,22.2222222222222
"D8M4",8,33.3333333333333
"D8M5",8,44.4444444444444
"D8M6",8,55.5555555555556
"D8M7",8,66.6666666666667
"D8M8",8,77.7777777777778
"D8M9",8,88.8888888888889
"D8M10",8,100
"D9M1",9,0
"D9M2",9,11.1111111111111
"D9M3",9,22.2222222222222
"D9M4",9,33.3333333333333
"D9M5",9,44.4444444444444
"D9M6",9,55.5555555555556
"D9M7",9,66.6666666666667
"D9M8",9,77.7777777777778
"D9M9",9,88.8888888888889
"D9M10",9,100
"D10M1",10,0
"D10M2",10,11.1111111111111
"D10M3",10,22.2222222222222
"D10M4",10,33.3333333333333
"D10M5",10,44.4444444444444
"D10M6",10,55.5555555555556
"D10M7",10,66.6666666666667
"D10M8",10,77.7777777777778
"D10M9",10,88.8888888888889
"D10M10",10,100
